,WELL_ID,X_BHP,Y_BHP,h,V
495,110416200,456796,7600215,10,1868680390.0
496,110416400,455327,7598671,9,1832158764.0
497,110416600,453998,7597451,11,2515210175.5
498,110418200,456614,7599643,14,2620897251.0
499,110418300,455541,7598958,12,2363950158.0
500,110418500,453626,7597451,11,2515210175.5
501,110420000,446532,7596181,14,2620897251.0
502,110420100,447101,7597624,10,1868680390.0
503,110420200,456691,7600525,10,1868680390.0
504,110420300,455961,7599878,9,1832158764.0
505,110420400,454958,7599163,10,1868680390.0
506,110421200,451270,7599875,14,2620897251.0
507,110421300,451442,7597237,12,2363950158.0
508,110421400,456824,7602631,14,2620897251.0
509,110422300,453790,7598770,9,1832158764.0
510,110422400,455873,7600148,14,2620897251.0
511,110422500,453884,7598392,9,1832158764.0
512,110422700,453296,7597855,14,2620897251.0
513,110422800,452405,7597168,8,1381401648.0
514,110424700,456675,7601235,11,2515210175.5
515,110425000,451926,7597305,8,1381401648.0
516,110425100,452314,7597343,14,2620897251.0
517,110425200,452115,7597136,8,1381401648.0
518,110427600,452387,7597212,10,1868680390.0
519,110427700,451154,7596751,14,2620897251.0
520,110427800,450351,7596324,8,1381401648.0
521,110428100,449737,7592985,8,1381401648.0
522,110430500,450362,7595770,8,1381401648.0
523,110432700,455336,7601422,14,2620897251.0
524,110433100,450826,7599147,9,1832158764.0
525,110433200,449936,7596421,9,1832158764.0
526,110435400,455891,7601396,12,2363950158.0
527,110438400,453142,7600900,8,1381401648.0
528,110438500,456117,7601091,12,2363950158.0
529,110439100,456760,7601132,9,1832158764.0
530,110441200,454261,7601525,9,1832158764.0
531,110441300,453861,7601591,8,1381401648.0
532,110442200,448412,7595947,12,2363950158.0
533,110443500,447472,7593409,12,2363950158.0
534,110444200,452644,7601595,9,1832158764.0
535,110444600,450819,7598832,12,2363950158.0
536,110444800,449658,7597086,8,1381401648.0
537,110445000,446469,7595738,11,2515210175.5
538,110445200,452073,7596900,13,1842033225.5
539,110447300,453734,7601868,8,1381401648.0
540,110447700,450469,7598883,10,1868680390.0
541,110448100,447259,7595538,12,2363950158.0
542,110450400,452811,7601766,13,1842033225.5
543,110450700,450447,7599219,8,1381401648.0
544,110450900,448414,7597475,12,2363950158.0
545,110451100,447197,7595706,12,2363950158.0
546,110451200,447993,7596594,9,1832158764.0
547,110453500,452417,7601874,14,2620897251.0
548,110453800,450441,7599043,12,2363950158.0
549,110454200,446929,7595843,13,1842033225.5
550,110456700,450649,7599974,8,1381401648.0
551,110456800,449920,7599265,10,1868680390.0
552,110457100,446569,7596013,8,1381401648.0
553,110460100,448909,7598726,8,1381401648.0
554,110460200,447345,7597518,10,1868680390.0
555,110460300,447185,7597281,11,2515210175.5
556,110462800,450401,7600795,11,2515210175.5
557,110463200,447005,7597818,12,2363950158.0
558,110463300,447127,7597432,14,2620897251.0
559,110463500,452546,7601806,13,1842033225.5
560,110463900,454862,7601196,12,2363950158.0
561,110464400,449839,7597443,10,1868680390.0
562,110465900,450279,7600870,9,1832158764.0
563,110466300,446876,7597908,12,2363950158.0
564,110466400,446949,7597670,13,1842033225.5
565,110466700,450873,7600509,13,1842033225.5
566,110468900,450140,7600946,14,2620897251.0
567,110469400,446747,7597679,14,2620897251.0
568,110472800,450521,7600690,11,2515210175.5
569,110478900,449991,7601015,13,1842033225.5
570,110494900,448999,7596975,11,2515210175.5
571,110499300,447007,7599281,9,1832158764.0
572,110502600,451347,7601406,8,1381401648.0
573,110503000,446388,7597976,11,2515210175.5
574,110529000,457115,7603479,9,1832158764.0
575,110715300,463985,7609344,14,2620897251.0
576,110715400,464732,7613004,11,2515210175.5
577,110720500,445439,7598877,14,2620897251.0
578,110721200,445153,7598969,8,1381401648.0
579,110801100,441396,7596835,9,1832158764.0
580,110802000,439640,7593266,12,2363950158.0
581,110802400,441357,7595810,14,2620897251.0
582,110803100,441049,7595844,11,2515210175.5
583,110803300,441447,7592661,10,1868680390.0
584,110803800,440671,7596752,11,2515210175.5
585,110804200,440487,7593551,11,2515210175.5
586,110804600,440196,7593464,11,2515210175.5
587,110805200,440066,7593353,11,2515210175.5
588,110805800,439907,7593380,12,2363950158.0
589,110806200,440274,7596674,14,2620897251.0
590,110806400,439752,7593334,14,2620897251.0
591,110807000,439301,7593185,12,2363950158.0
592,110807600,439569,7593280,12,2363950158.0
