,WELL_ID,X_TOP,Y_TOP,X_BHP,Y_BHP,h,V
396,110157100,447408,7596754,446645,7595988,9,1832158764.0
397,110159300,454579,7604352,455494,7604934,10,1868680390.0
398,110159500,453578,7603821,452757,7603048,8,1381401648.0
399,110159600,453084,7602762,452499,7602069,9,1832158764.0
400,110159700,452232,7602046,451572,7601374,8,1381401648.0
401,110159800,451419,7601181,450990,7600738,10,1868680390.0
402,110160000,449851,7599523,449239,7599000,11,2515210175.5
403,110160100,449102,7598832,448426,7598143,12,2363950158.0
404,110160200,448231,7598021,447521,7597312,11,2515210175.5
405,110160300,447421,7597207,446542,7596310,9,1832158764.0
406,110162300,454356,7604563,454949,7605152,14,2620897251.0
407,110162600,452782,7602877,452195,7602172,13,1842033225.5
408,110162800,451119,7601363,450395,7600692,11,2515210175.5
409,110162900,450365,7600563,449688,7599903,11,2515210175.5
410,110163100,448802,7599032,448088,7598315,11,2515210175.5
411,110163200,447919,7598220,447232,7597526,8,1381401648.0
412,110163300,447160,7597355,446439,7596630,13,1842033225.5
413,110165400,454192,7604814,454719,7605348,14,2620897251.0
414,110165600,453080,7604224,452256,7603547,10,1868680390.0
415,110165700,452514,7603135,451813,7602432,10,1868680390.0
416,110166100,449455,7599990,448772,7599461,12,2363950158.0
417,110166200,448669,7599287,447899,7598524,13,1842033225.5
418,110166300,447747,7598471,447058,7597776,8,1381401648.0
419,110166400,447053,7597677,446333,7596950,14,2620897251.0
420,110168500,453176,7604213,453919,7604973,11,2515210175.5
421,110169000,449934,7600942,448616,7600233,11,2515210175.5
422,110169100,449374,7600342,448389,7599906,12,2363950158.0
423,110169200,448515,7599560,447837,7598888,14,2620897251.0
424,110169300,447557,7598708,446845,7597981,12,2363950158.0
425,110169400,446685,7597712,445963,7597010,9,1832158764.0
426,110173900,457083,7609614,455995,7608947,10,1868680390.0
427,110174000,455715,7608033,456561,7608887,13,1842033225.5
428,110175200,447606,7599282,448319,7599850,9,1832158764.0
429,110176500,458977,7610887,459667,7611880,10,1868680390.0
430,110176800,457117,7609455,456621,7608954,13,1842033225.5
431,110202900,459120,7610692,459627,7611575,8,1381401648.0
432,110300800,461428,7604456,461735,7603934,14,2620897251.0
433,110300900,461322,7604337,461537,7603842,12,2363950158.0
434,110301000,461305,7603794,461196,7604973,14,2620897251.0
435,110301100,461875,7604842,462262,7604283,14,2620897251.0
436,110301200,461590,7604564,461995,7604067,9,1832158764.0
437,110301700,456743,7601691,456230,7600978,13,1842033225.5
438,110301800,456741,7602004,456306,7601256,10,1868680390.0
439,110302100,457992,7599126,458847,7599995,10,1868680390.0
440,110302400,453017,7596063,453756,7595245,9,1832158764.0
441,110302600,452869,7595687,453548,7594990,9,1832158764.0
442,110303300,450346,7594914,449277,7593874,14,2620897251.0
443,110303400,448941,7593513,447789,7592413,11,2515210175.5
444,110303500,449026,7593798,447652,7592702,8,1381401648.0
445,110303600,450400,7594732,449411,7593752,12,2363950158.0
446,110304500,446945,7598960,446126,7598138,14,2620897251.0
447,110304800,450441,7600123,450751,7600511,8,1381401648.0
448,110304900,449926,7601310,449313,7601951,9,1832158764.0
449,110305000,450268,7601427,449594,7602155,13,1842033225.5
450,110305400,450338,7601497,451152,7602319,11,2515210175.5
451,110305500,453136,7604592,453788,7605256,8,1381401648.0
452,110305600,452481,7604020,453439,7605325,8,1381401648.0
453,110305700,450011,7602070,450471,7601844,12,2363950158.0
454,110305800,454150,7605514,454593,7606107,10,1868680390.0
455,110305900,454685,7606142,455142,7607017,13,1842033225.5
456,110306000,455327,7605110,456196,7605797,13,1842033225.5
457,110306100,454468,7606137,453708,7605424,11,2515210175.5
458,110306200,455219,7606606,455588,7607242,9,1832158764.0
459,110306300,456015,7606089,456803,7606878,8,1381401648.0
460,110307700,464235,7610634,464218,7609303,9,1832158764.0
461,110307800,464134,7611944,464392,7612888,8,1381401648.0
462,110400200,455734,7599725,456776,7600761,12,2363950158.0
463,110401000,446956,7594800,447708,7595659,9,1832158764.0
464,110401100,447164,7594566,448172,7595501,13,1842033225.5
465,110402500,448346,7596555,448896,7597074,8,1381401648.0
466,110402600,448156,7596697,448811,7597315,11,2515210175.5
467,110402700,447588,7597091,448416,7597899,11,2515210175.5
468,110402800,447772,7597030,448485,7597791,10,1868680390.0
469,110402900,447981,7596925,448525,7597501,11,2515210175.5
470,110403000,450775,7598338,451627,7597471,12,2363950158.0
471,110403100,450301,7599271,450945,7599913,13,1842033225.5
472,110403400,449343,7598788,448580,7597948,8,1381401648.0
473,110403500,449134,7598770,448601,7598216,13,1842033225.5
474,110403700,448637,7599763,448093,7599312,14,2620897251.0
475,110403800,447106,7596140,447705,7596731,14,2620897251.0
