WELL_ID,X_TOP,Y_TOP,X_BHP,Y_BHP,h
110466400,446223,7596943,446949,7597670,13
110466700,450065,7599506,450873,7600509,13
110468900,450794,7601570,450140,7600946,14
110469400,446032,7596984,446747,7597679,14
110472800,451100,7601239,450521,7600690,11
110478900,450723,7601685,449991,7601015,13
110494900,448352,7596215,448999,7596975,11
110499300,447719,7599017,447007,7599281,9
110502600,452063,7602091,451347,7601406,8
110503000,447091,7598677,446388,7597976,11
110529000,457058,7604524,457115,7603479,9
110715300,463990,7610459,463985,7609344,14
110715400,464339,7611573,464732,7613004,11
110720500,446005,7597672,445439,7598877,14
110721200,445816,7597630,445153,7598969,8
110801100,441644,7594851,441396,7596835,9
110802000,440757,7593448,439640,7593266,12
110802400,441420,7594818,441357,7595810,14
110803100,441153,7594764,441049,7595844,11
110803300,441196,7593265,441447,7592661,10
110803800,440896,7594819,440671,7596752,11
110804200,440245,7594385,440487,7593551,11
110804600,440074,7594418,440196,7593464,11
110805200,439929,7594398,440066,7593353,11
110805800,439771,7594408,439907,7593380,12
110806200,440408,7595838,440274,7596674,14
110806400,439633,7594308,439752,7593334,14
110807000,439238,7594248,439301,7593185,12
110807600,439424,7594310,439569,7593280,12
